序号,ABS,承销商/管理人,拟发行金额(亿元),项目状态,申报日期,反馈/获批日期,状态
1,泰康资产-财通-远景新能源持有型不动产资产支持专项计划(碳中和),泰康资产,2.85,通过,2025-03-31,2025-05-19,已发行
2,太平洋-世纪互联数据中心持有型不动产资产支持专项计划,太平洋资产,8.6,通过,2025-02-21,2025-05-09,已发行
3,广明高速持有型不动产资产支持专项计划,人保资产,25.3,通过,2024-11-21,2025-03-12,已发行
4,中信证券-万国数据2025年第1期数据中心持有型不动产资产支持专项计划,中信证券,16.09,通过,2024-07-18,2025-01-23,已发行
5,建信住房租赁基金持有型不动产资产支持专项计划,中金公司,11.7,通过,2024-03-30,2024-07-30；2024-12-31,已发行
6,平安证券-中国铁建一期持有型不动产资产支持专项计划,平安证券,8.58,通过,2024-11-26,2024-12-25,已发行
7,九永高速持有型不动产资产支持专项计划,华泰资管,22.0,通过,2024-09-23,2024-11-22,已发行
8,安江高速持有型不动产资产支持专项计划,中金公司,49.56,通过,2024-06-27,2024-07-22,已发行
9,华泰-中交路建清西大桥持有型不动产资产支持专项计划,华泰资管,19.6,通过,2023-11-13,2023-12-11,已发行
10,中信证券-越秀商业持有型不动产资产支持专项计划,中信证券,14.3,通过,2024-09-20,2024-10-28,已发行
11,国金资管-新疆国信持有型不动产资产支持专项计划资产支持证券（火电）,国金资管,55.0,已受理,2025-04-30,2025-05-14,已申报
12,东百集团仓储物流持有型不动产资产支持专项计划,中金公司,15.02,已反馈,2025-03-31,2025-04-15,已申报
13,国金资管-观博啟城持有型不动产资产支持专项计划（生物医药产业园）,国金资管,4.99,已反馈,2025-03-31,2025-04-13,已申报
14,中金凯德商业持有型不动产资产支持专项计划,中金公司,30.0,已反馈,2025-03-31,2025-05-22,已申报
15,人保资产-中铁诺德持有型不动产资产支持专项计划,人保资产,25.6,已反馈,2025-03-31,2025-04-08,已申报
16,国金资管-基汇资本持有型不动产资产支持专项计划,国金资管,8.67,已反馈,2025-02-19,2025-04-22,已申报
17,国金资管-欢乐颂持有型不动产资产支持专项计划,国金资管,6.95,已反馈,2024-12-06,2025-03-19,已申报
