ABS,承销商/管理人,拟发行金额(亿元),项目状态,申报日期,获批日期
泰康资产-财通-远景新能源持有型不动产资产支持专项计划(碳中和),泰康资产,2.85,通过,2025-03-31,2025-05-19
太平洋-世纪互联数据中心持有型不动产资产支持专项计划,太平洋资产,8.6,通过,2025-02-21,2025-05-09
广明高速持有型不动产资产支持专项计划,人保资产,25.3,通过,2024-11-21,2025-03-12
中信证券-万国数据2025年第1期数据中心持有型不动产资产支持专项计划,中信证券,16.09,通过,2024-07-18,2025-01-23
建信住房租赁基金持有型不动产资产支持专项计划,中金公司,11.7,通过,2024-03-30,2024-07-30；2024-12-31
平安证券-中国铁建一期持有型不动产资产支持专项计划,平安证券,8.58,通过,2024-11-26,2024-12-25
九永高速持有型不动产资产支持专项计划,华泰资管,22.0,通过,2024-09-23,2024-11-22
安江高速持有型不动产资产支持专项计划,中金公司,49.56,通过,2024-06-27,2024-07-22
华泰-中交路建清西大桥持有型不动产资产支持专项计划,华泰资管,19.6,通过,2023-11-13,2023-12-11
中信证券-越秀商业持有型不动产资产支持专项计划,中信证券,14.3,通过,2024-09-20,2024-10-28
